Time,X (RightHanded),Y (Zenith),Z (Beam Direction),Phi (Detector),Theta (Detector)
2035-05-09 06:08:09.400,0.7923887201263613,0.048933741339892235,0.6080607090103977,0.06167639283820465,0.9171807965425512
2035-05-09 10:31:16.094,-0.0647776712622499,0.26855798239343326,0.9610888772049555,1.8074808713274924,0.279878975035431
2035-05-09 14:54:22.787,-0.7810101548195344,-0.23100069961670106,0.5802356514116935,-2.8540195354296376,0.9517783273554832
2035-05-09 19:17:29.480,-0.5074380847228134,-0.8576720686042467,-0.08311709686991972,-2.1050503934906106,1.6540094241547416
2035-05-09 23:40:36.174,0.43170358691786,-0.8687329266000249,-0.24277174515625136,-1.109603916528034,1.8160183843779607
2035-05-10 04:03:42.867,0.9233567087580856,-0.2510752893783296,0.29049107598980106,-0.2654966111598579,1.2760563223561205
2035-05-10 08:26:49.561,0.3848220861524021,0.2632621938023596,0.8846560802442632,0.5999844936435131,0.48504047147453594
2035-05-10 12:49:56.254,-0.5456379903991532,0.0646939094739546,0.8355274263841976,3.023577979596839,0.581704321798501
2035-05-10 17:13:02.947,-0.765254142652653,-0.6114407104749586,0.20133063588283356,-2.4674596509973874,1.3680801427337785
2035-05-10 21:36:09.641,-0.013739726551885406,-0.9637949751309467,-0.26629182637170773,-1.5850512215049117,1.840340219861723
2035-05-11 01:59:16.334,0.8182190512553973,-0.5747639865097774,-0.013120485586041411,-0.6123732893521614,1.583917188852452
2035-05-11 06:22:23.027,0.7445974727210365,0.0945775829060872,0.6607887898972162,0.12634185038458448,0.8489271329372584
2035-05-11 10:45:29.721,-0.14734958160629907,0.2509363126086296,0.9567290872782006,2.101750239021326,0.29525116908873256
2035-05-11 15:08:36.414,-0.8004994936451449,-0.2910031069046034,0.5239551174302374,-2.7929183246599787,1.0193084311321585
2035-05-11 19:31:43.107,-0.44074625078433033,-0.8889411464584157,-0.12461520935391782,-2.031086628902191,1.6957363349112653
2035-05-11 23:54:49.801,0.505534182323962,-0.8342091649313166,-0.2203043004828452,-1.0259737317216115,1.7929227513997839
2035-05-12 04:17:56.494,0.9168231955030944,-0.19167599369120364,0.35029607701032556,-0.2060968861222757,1.2129091360454707
2035-05-12 08:41:03.187,0.30566785651961215,0.2771376807376082,0.910918863862876,0.7364840459947292,0.42529062473622004
2035-05-12 13:04:09.881,-0.6036004584992503,0.01660019073020866,0.7971218017289002,3.1140976323893192,0.6482828806025261
2035-05-12 17:27:16.574,-0.7333282674053089,-0.6645038258003152,0.14377467977959257,-2.405391319389518,1.4265216503945672
2035-05-12 21:50:23.267,0.07023630422560304,-0.9589379787660434,-0.27478318691969994,-1.4976830384196635,1.8491605287526125
2035-05-13 02:13:29.961,0.8547180213631487,-0.5177437208142468,0.03751679353460266,-0.5446352455838505,1.5332707268055832
2035-05-13 06:36:36.654,0.6903614307703297,0.13618124872627543,0.7105404880932349,0.19476033247701402,0.780530301278535
2035-05-13 10:59:43.347,-0.2280409513776733,0.22781491069543577,0.9466305008761791,2.3566903501395737,0.32818010487504873
2035-05-13 15:22:50.041,-0.8120116822147863,-0.3514468674122174,0.46597517559985935,-2.7331254128106046,1.0860598898799028
2035-05-13 19:45:56.734,-0.3694350396562316,-0.9150703682017621,-0.16175897233074962,-1.9545081409008522,1.7332691669968603
2035-05-14 00:09:03.427,0.575151638109043,-0.7950562758636707,-0.19258924681267456,-0.9445311365388985,1.7645964371437441
2035-05-14 04:32:10.121,0.9022374297763943,-0.1336448579199201,0.4100228084697689,-0.1470567223101454,1.1483172575255691
2035-05-14 08:55:16.814,0.2241656665742876,0.28526904686231463,0.9318704727298829,0.9047713867147573,0.37126137123509545
2035-05-14 13:18:23.507,-0.6554237881176863,-0.034805952546401606,0.7544669898653515,-3.088537989093724,0.7159546838161627
2035-05-14 17:41:30.201,-0.6940521664264725,-0.7145219755628863,0.08806777265932245,-2.3416632222102782,1.4826143136815826
2035-05-14 22:04:36.894,0.15406228058700372,-0.9482876457813418,-0.2775186277584572,-1.4097398286544953,1.8520066439567975
2035-05-15 02:27:43.588,0.8837445666419323,-0.45904803005271727,0.0909951408218185,-0.47907459978204364,1.4796751407064175
2035-05-15 06:50:50.281,0.6301868042588359,0.1733566810705006,0.7568513293392931,0.26844780578987504,0.7123142666689279
2035-05-15 11:13:56.974,-0.30609874095170087,0.19940981678853878,0.9308872373406867,2.5641946660754864,0.37396220285336396
2035-05-15 15:37:03.668,-0.8154393974303631,-0.41176764144209893,0.40683678737349127,-2.6739816356905086,1.151807682059437
2035-05-15 20:00:10.361,-0.2941701062476196,-0.9358157217991998,-0.19420197082717414,-1.8753622478051952,1.7662401940811971
2035-05-16 00:23:17.054,0.6399061975118091,-0.7516395433760941,-0.15988553541460732,-0.8655206811643541,1.7313710223594894
2035-05-16 04:46:23.748,0.8797356110023672,-0.07752329333748184,0.46911360042489164,-0.08789408706860052,1.0825095100095827
2035-05-16 09:09:30.441,0.14107623426439306,0.2875806694997846,0.9473152017931918,1.1147273442851695,0.32604915100973186
2035-05-16 13:32:37.134,-0.7006243645838356,-0.0890444544007171,0.7079609719206053,-3.015177389828371,0.7841894244573288
2035-05-16 17:55:43.828,-0.6477925577356617,-0.7610281257605123,0.03472965860875614,-2.2759907679886293,1.536059682869159
2035-05-16 22:18:50.521,0.2369557247908327,-0.9319432578719357,-0.2744728752490933,-1.3218124574217964,1.8488378086679418
2035-05-17 02:41:57.214,0.9050277943462184,-0.3992246199333091,0.14681516233442618,-0.41544367726135484,1.4234485560870787
