Time,X (South),Y (East),Z (Zenith),Phi (Honda),Theta (Honda)
2035-05-09 06:08:09.400,0.687533221697615,-0.7245022829643664,0.048933741339892235,-0.8115735801001698,1.5218430356515136
2035-05-09 10:31:16.094,-0.21429258121645936,-0.9391247519517072,0.26855798239343326,-1.795138602641988,1.2989006209979177
2035-05-09 14:54:22.787,-0.8621420245562421,-0.4509432406308568,-0.23100069961670106,-2.659675673402031,1.803902401615286
2035-05-09 19:17:29.480,-0.4881911019892679,0.16145609519190163,-0.8576720686042467,2.8221931079557376,2.601521445610457
2035-05-09 23:40:36.174,0.46435744536250234,0.1722651014493834,-0.8687329266000249,0.35523742789988183,2.6234345858812094
2035-05-10 04:03:42.867,0.8665560016445362,-0.43132574126456064,-0.2510752893783296,-0.46184366943734234,1.8245872955279112
2035-05-10 08:26:49.561,0.24172560240389535,-0.9339495438495823,0.2632621938023596,-1.3175330841897246,1.30439419845277
2035-05-10 12:49:56.254,-0.6695949300658388,-0.7399035935222238,0.0646939094739546,-2.306353759778275,1.5060572048592737
2035-05-10 17:13:02.947,-0.7873199834803029,-0.07916755134809576,-0.6114407104749586,-3.041376298841726,2.2286763502672553
2035-05-10 21:36:09.641,0.02807696978635799,0.26516208190454726,-0.9637949751309467,1.4653033460757507,2.8716829417601555
2035-05-11 01:59:16.334,0.8101970759564323,-0.11500894714340855,-0.5747639865097774,-0.14100972313241739,2.183112033126586
2035-05-11 06:22:23.027,0.6320838140399211,-0.7691067109578413,0.0945775829060872,-0.8828785578044948,1.4760771751614787
2035-05-11 10:45:29.721,-0.2951659952194107,-0.9219045516106963,0.2509363126086296,-1.8806532906431133,1.3171489312435083
2035-05-11 15:08:36.414,-0.8725892410211963,-0.39230754291234404,-0.2910031069046034,-2.7190795968814108,1.8660714806418022
2035-05-11 19:31:43.107,-0.4158301592372797,0.19201280374468802,-0.8889411464584157,2.709004103858659,2.6658244854562283
2035-05-11 23:54:49.801,0.5337651658536124,0.13852731451183578,-0.8342091649313166,0.25392643618619376,2.5574934466296804
2035-05-12 04:17:56.494,0.8507495420721011,-0.4893725882255767,-0.19167599369120364,-0.5220035183703393,1.7636658461166403
2035-05-12 08:41:03.187,0.15943847845490597,-0.9475094076067868,0.2771376807376082,-1.4040869575095067,1.2899825092525588
2035-05-12 13:04:09.881,-0.7208371923945026,-0.6929056037647059,0.01660019073020866,-2.375949112619097,1.5541953735611842
2035-05-12 17:27:16.574,-0.7467855415108684,-0.02731337560726206,-0.6645038258003152,-3.105034358316229,2.2976259793317997
2035-05-12 21:50:23.267,0.11234711186574883,0.26041520565343407,-0.9589379787660434,1.1635044101896046,2.854029949269413
2035-05-13 02:13:29.961,0.8383270936846725,-0.1707311440588088,-0.5177437208142468,-0.2009093781241992,2.1150078960699137
2035-05-13 06:36:36.654,0.5707344613369214,-0.8097634482599264,0.13618124872627543,-0.9568452682452628,1.4341906049510647
2035-05-13 10:59:43.347,-0.37328448527781766,-0.8993103243684604,0.22781491069543577,-1.9642335525195458,1.3409633343675331
2035-05-13 15:22:50.041,-0.874891738563565,-0.33324097163968597,-0.3514468674122174,-2.777664722400483,1.92991243837792
2035-05-13 19:45:56.734,-0.33958772544629395,0.2175463122309912,-0.9150703682017621,2.5718405311823154,2.7264786965002026
2035-05-14 00:09:03.427,0.5981909033232384,0.10026545462480517,-0.7950562758636707,0.16607072800134634,2.4898966831024834
2035-05-14 04:32:10.121,0.8270022113683835,-0.5460827724286565,-0.1336448579199201,-0.583593075391275,1.7048422540276646
2035-05-14 08:55:16.814,0.07566296006920932,-0.955456271828194,0.28526904686231463,-1.4917708486451065,1.281509199226666
2035-05-14 13:18:23.507,-0.7653513371848992,-0.6426708927099658,-0.034805952546401606,-2.4431046273678234,1.6056093108122131
2035-05-14 17:41:30.201,-0.6992805582365065,0.021564955602781377,-0.7145219755628863,3.110763649493562,2.366736924881986
2035-05-14 22:04:36.894,0.19556883219901183,0.25000674537059,-0.9482876457813418,0.9069700333754276,2.8185932758757644
2035-05-15 02:27:43.588,0.8586323502014142,-0.22809075670073875,-0.45904803005271727,-0.25964762150725884,2.047719686567748
2035-05-15 06:50:50.281,0.5040577839499334,-0.84609290953636,0.1733566810705006,-1.033509489653344,1.3965593872772892
2035-05-15 11:13:56.974,-0.4479190033502873,-0.8715528047146924,0.19940981678853878,-2.045527429521421,1.3700407222322617
2035-05-15 15:37:03.668,-0.869028120792704,-0.274294613021679,-0.41176764144209893,-2.8358553823704167,1.9951892567130631
2035-05-15 20:00:10.361,-0.26017543855428155,0.237818577925548,-0.9358157217991998,2.4010581999310605,2.7813625002481555
2035-05-16 00:23:17.054,0.657033400362104,0.057836905536067885,-0.7516395433760941,0.08780102671598883,2.421340658202031
2035-05-16 04:46:23.748,0.7955357505676406,-0.6009267913472417,-0.07752329333748184,-0.6469314216232517,1.64839748159117
2035-05-16 09:09:30.441,-0.00881899294485061,-0.9577158158313427,0.2875806694997846,-1.5800044275134169,1.2790964898926482
2035-05-16 13:32:37.134,-0.8027219475639794,-0.5896681779098906,-0.0890444544007171,-2.508029812204078,1.6599588740222815
2035-05-16 17:55:43.828,-0.6452485235875086,0.06701145133171026,-0.7610281257605123,3.0381099230576836,2.4356928275001652
2035-05-16 22:18:50.521,0.27696533423951925,0.23403411660831477,-0.9319432578719357,0.7015807839700462,2.770531959536034
2035-05-17 02:41:57.214,0.8709233922751002,-0.2865521726093468,-0.3992246199333091,-0.3178645367777286,1.9814673198778487
